IdDon;Auteur;Intermediaire;IdBene;Beneficiaire;Statut;Nature;Lieu;Formes;Poids;Prix;Informations;Sources
1;Jean sans Peur;;186;Yvon de Kermelec;Ecuyer d'écurie du duc;Aucune mention particulière;Aucune mention;Un cheval morel à courte queue valant 50 écus;;50 écus;16 May 1408;ADCO, B 1554, f° 109 v° et 110 r°
2;Jean sans Peur;;496;Willequin Bloc;Fauconnier du duc;Aucune mention particulière;Gand;Un cheval valant 20 écus d'or;;20 écus d'or;11 February 1407;ADCO, B 1547, f° 113 r°
3;Jean sans Peur;;496;Willequin Bloc;Fauconnier du duc;Aucune mention;Gand;Un cheval bai à courte queue valant 30 fr.;;30 fr. monn. royal;10 August 1407;ADCO, B 1547, f° 114 v° et 115 r°
4;Jean sans Peur;;359;Waléran III de Luxembourg;Comte de Saint-Pol;En paiement de ses arrérages en vertue de sa pension;Paris;Deux coursiers valant 405 fr.;;405 fr. monn. royal;14 April 1410;ADCO, B 1560, f° 124 r°
5;Jean sans Peur;;359;Waléran III de Luxembourg;Comte de Saint-Pol, connétable de France;Aucune mention particulière;Aucune mention;Un cheval roux bai à longue queue ;;;12 September 1412;ADCO, B 1571, f° 152 v° et 153 r°
6;Jean sans Peur;Des représentants de Bohême;2301;Un évêque des marches de Bohême;;Lors d'une ambassade de représentants de la Bohême;Paris;Une belle mule valant 80 fr.;;80 fr. monn. royal;25 September 1409;ADCO, B 1558, f° 107 r°
7;Jean sans Peur;;2298;Thibaud de Lugny;Veneur du duc;Aucune mention particulière;Paris;Un cheval gris à longue queue valant 40 fr.;;40 fr. monn. royal;22 June 1409;ADCO, B 1558, f° 105 v°
8;Jean sans Peur;;2285;Thibaud de Laval;Chambellan du roi de Sicile;Aucune mention particulière;Paris;Un cheval valant 120 écus;;120 écus;10 April 1408;ADCO, B 1554, f° 108 r°
9;Jean sans Peur;;817;Simon de Craon;Chevalier et chambellan du duc;Aucune mention particulière;Bruges;Un cheval noir à longue queue valant 100 fr.;;100 fr. monn. royal;4 January 1414;ADCO, B 1576, f° 165 v° et 166 r°
10;Jean sans Peur;;267;Roland d'Uutkerke;Capitaine de Malines, conseiller du duc;Aucune mention particulière;;Un grand cheval à longue queue pour la joute;;;1416;DE LABORDE, Les ducs de Bourgogne, étude sur les lettres, les arts et l'industrie pendant le XVe siècle, t. I, 1851, n° 396, p. 130
11;Jean sans Peur;;2286;Roger d'Espagne;Chevalier;Aucune mention particulière;Paris;Un cheval bai à longue queue valant 90 écus;;90 écus;12 May 1408;ADCO, B 1554, f° 109 r°
12;Jean sans Peur;;2328;Roger de Breaute;Seigneur de Breaute;Aucune mention particulière;Aucune mention;Un coursier morel valant 160 fr.;;160 fr. monn. royal;27 July 1411;ADCO, B 1570, f° 238 r°
13;Jean sans Peur;;2327;Robinet de Rotetanghes/Rotebaughes (?);Capitaine de Sienne;Aucune memntion particulière;Aucune mention;Un cheval bai à courte queue valant 60 écus de 30 gros nouvelle monn. de Flandres;;60 écus de 30 gros nouvelle monn. de Flandre;26 June 1411;ADCO, B 1570, f° 238 r° et 238 v°
14;Jean sans Peur;;601;Robert de Wavrin;Seigneur de Wavrin;Aucune mention particulière;Paris;Un ostoir valant 25 écus;;25 écus;14 March 1408;ADCO, B 1554, f° 136 r°
15;Jean sans Peur;;2361;Robert de Pinay;Ambassadeur du duc de Bretagne;Aucune mention particulière;Aucune mention;Un cheval fauve à longue queue;;;19 August 1419;ADCO, B 1598, f° 343 r°
16;Jean sans Peur;;117;Robert de Mailly, dit aussi Robinet de Mailly;Chevalier et grand panetier de France;Aucune mention particulière;Aucune mention;Un cheval à longue queue valant 100 écus;;100 écus;4 July 1419;ADCO, B 1598, f° 343 r°
17;Jean sans Peur;;281;Richard Le Conte;Barbier;Aucune mention particulière;Aucune mention;Un cheval brun fauve;;;7 September 1412;ADCO, B 1571, f° 151 r° et 152 r°
18;Jean sans Peur;;2324;Rennequin;;Aucune mention particulière;Lille;Un cheval noir valant 36 fr.;;36 fr. monn. royal;10 March 1411;ADCO, B 1562, f° 47 v°
19;Jean sans Peur;;152;Regnier Pot;Chevalier, conseiller et chambellan du duc;"""Pour les bons et agreables services qui lui a fais et fait de jour en jour""";Aucune mention;Un mulet valant 100 fr.;;100 fr. monn. royal;24 May 1407;ADCO, B 1556, f° 80 v° et 81 r°
20;Jean sans Peur;Girart de Bourbon;152;Regnier Pot;Gouverneur du Dauphiné, conseiller du roi et du duc;Aucune mention particulière;Aucune mention;Un cheval bai à longue queue valant 70 écus monn. royal;;70 écus monn. royal;22 August 1411;ADCO, B 1570, f° 243 v°
21;Jean sans Peur;;2332;Regnier de La Haucourt (?);Prévôt de Saint-Quentin en Vermandois;Aucune mention particulière;Aucune mention;Un cheval bai clair à courte queue valant 36 fr.;;36 fr. monn. royal;28 August 1411;ADCO, B 1570, f° 237 v°
22;Jean sans Peur;Jean de Croÿ;89;Regnault d'Azincourt;Ecuyer;"""Pour le bon rapport que lui en fist ledit monseigneur de Croy""";Paris;Un grand cheval gris valant 70 écus d'or monn. royal;;70 écus d'or ;2 September 1409;ADCO, B 1560, f° 122 v°
23;Jean sans Peur;;364;Regnaudin Baudescot;Archer du duc;Aucune mention particulière;Aucune mention;Un cheval gris à courte queue valant 15 écus;;15 écus;1 June 1409;ADCO, B 1558, f° 108 v°
24;Jean sans Peur;;2360;Regnaud de Chevannes;Ecuyer du duc;Aucune mention particulière;Aucune mention;Un cheval gris à longue queue valant 135 fr.;;135 fr. monn. royal;21 July 1419;ADCO, B 1598, f° 211 v°
25;Jean sans Peur;;1127;Raymond de Lespezat;Ecuyer du comte de Foix;Aucune mention particulière;Paris;Un cheval morel à courte queue valant 73 fr. 2 s. 6 d. t.;;73 fr. 2 s. 6 d. t. monn. royal;31 May 1410;ADCO, B 1560, f° 123 v°
26;Jean sans Peur;;5624;Rasse de Montcavrel;Chevalier;Aucune mention particulière;Arras;1 cheval bai;;40 écus or monn. royal;30 May 1414;ADN, B 1903, f° 146 r° et 146 v°
27;Jean sans Peur;;533;Raoulet d'Anquetonville;Ecuyer d'écurie du duc;Aucune mention particulière;Bruges;Un cheval valant 50 écus;;50 écus;14 December 1407;ADCO, B 1554, f° 106 r°
28;Jean sans Peur;;508;Raoul Le Maire;Conseiller du duc;Auucne mention particulière;Lille;Un cheval fauve à longue queue valant 112 fr. demi;;112 fr. demi monn. royal;19 October 1413;ADCO, B 1576, f° 161 v°
29;Jean sans Peur;;406;Pons de Perellos;Chevalier, conseiller et chambellan du duc;Aucune mention particulière;Aucune mention;Un grand cheval gris à courte queue valant 120 écus;;120 écus;22 May 1408;ADCO, B 1556, f° 80 v°
