IdDon;Auteur;Intermediaire;IdBene;Beneficiaire;Statut;Nature;Lieu;Formes;Poids;Prix;Informations;Sources
1;Jean sans Peur;;15;Jean Pioche;Maître d'hôtel du duc;Aucune mention particulière;Paris;1 rabot avec un diamant assis en un anneau;;10 écus;26 May 1406;ADCO, B 1554, f° 119 v°
2;Jean sans Peur;;931;Jeanne de Bretigny;;Pour ses étrennes;Aucune mention;1 diamant;;10 écus;1 January 1409;ADCO, B 1556, f° 85 r°
3;Jean sans Peur;;940;Agnes du Deffeus/Deffens (?);;Pour ses étrennes;Aucune mention;1 diamant;;10 écus;1 January 1409;ADCO, B 1556, f° 85 r°
4;Jean sans Peur;;2227;Jacquette de Le Zippe;;Pour ses étrennes;Aucune mention;1 diamant;;10 écus;1 January 1409;ADCO, B 1556, f° 85 r°
5;Jean sans Peur;;2228;Isabeau de Semur;;Pour ses étrennes;Aucune mention;1 diamant;;10 écus;1 January 1409;ADCO, B 1556, f° 85 r°
6;Jean sans Peur;;2480;Jeanne Desterghe (?);;Pour ses étrennes;Aucune mention;1 diamant;;10 écus;1 January 1409;ADCO, B 1556, f° 85 r°
7;Jean sans Peur;;2481;Marie de Mornelles / Morvelles (?);;Pour ses étrennes;Aucune mention;1 diamant;;10 écus;1 January 1409;ADCO, B 1556, f° 85 r°
8;Jean sans Peur;;2482;Alixant Darennes (?);;Pour ses étrennes;Aucune mention;1 diamant;;10 écus;1 January 1409;ADCO, B 1556, f° 85 r°
9;Jean sans Peur;;2483;La soeur de Marie de Mornelles/Morvelles (?);;Pour ses étrennes;Aucune mention;1 diamant;;10 écus;1 January 1409;ADCO, B 1556, f° 85 r°
10;Jean sans Peur;;454;Marguerite de Bourgogne, de Guyenne;Duchesse de Guyenne et épouse de Louis de France;Pour ses étrennes;Paris;1 petit diamant;;10 écus 8 s. p. monn. royal;1 January 1410;ADCO, B 1560, f° 139 r°
11;Jean sans Peur;;2439;Les serviteurs et officiers du d'Autriche;Un chevalier et un écuyer;Offert en août 1407;Paris;2 gobelets d'argent;;10 écus d'or;4 October 1407;ADCO, B 1547, f° 122 r°
12;Jean sans Peur;;2449;Les serviteurs et officiers de la duchesse de Bourgogne;Les femmes de l'hôtel de la duchesse;Etrennes;Aucune mention;13 diamants pointus + 1 petit saphir à deux feuilles de rouge clair;;10 écus/p. (157 fr. demi monn. royal l'ensemble);1 January 1415;ADCO, B 393, liasse 68, c. 118
13;Jean sans Peur;Regnier Pot;2450;Venceslas de Luxembourg;Roi de Bohême;Aucune mention particulière;Aucune mention;1 gros saphir;;10 fr. 10 s. t. monn. royal;8 July 1408;ADCO, B 1556, f° 88 v°
14;Jean sans Peur;;226;Antoine de Craon;Chevalier et chambellan du duc;Aucune mention particulière;Gand;De la dorure pour des draps rois et vermeils;1 marc au prix de 10 fr./marc;10 fr. monn. royal;17 April 1407;ADCO, B 1547, f° 117 v°
15;Jean sans Peur;;2398;Pierre de Courcelles;;Aucune mention particulière;Aucune mention;1 rabot garni d'un diamant et d'une perle;;10 fr. monn. royal;7 February 1406;ADCO, B 1543, f° 125 r°
16;Jean sans Peur;;2487;Jean Nario;;Pour ses étrennes;Aucune mention;1 capeline;;10 fr. monn. royal;1 January 1409;ADCO, B 1556, f° 86 r°
17;Jean sans Peur;;2425;Les serviteurs et officiers du duc de Bourgogne;Les chevaliers;Pour leurs étrennes;Aucune mention;100 capelines garnies de 2 diamants;;10 fr. monn. royal/capeline;1 January 1409;ADCO, B 1556, f° 85 v°
18;Jean sans Peur;Michault de Laillier;276;Jean de Velery;Maître de la chambre aux deniers;Le jour de ses noces au mois de décembre 1408;Aucune mention;De la vaisselle d'argent;;100 écus;28 February 1409;ADCO, B 1556, f° 84 v°
19;Jean sans Peur;;410;Lieven de Scuetelaere;Bourgmestre de Bruges;Aucune mention particulière;Aucune mention;De la vaisselle;;100 écus;22 August 1407;ADCO, B 1554, f° 121 r° et 121 v°
20;Jean sans Peur;Marguerite de Bavière;2441;La Damoiselle de La Moree;Nièce de la comtesse de Genève;"""Au partement delle pour aller en son pays""";Aucune mention;1 collier d'or à plusieurs sonnettes;;100 écus;4 October 1407;ADCO, B 1554, f° 122 r°
