IdDon;Auteur;Intermediaire;IdBene;Beneficiaire;Statut;Nature;Lieu;Formes;Poids;Prix;Informations;Sources
1;Jean sans Peur;;2221;(?) de Liquestam;Chevalier et chambellan du roi;Aucune mention particulière;Paris;1 longue houppelande de drap d'or;;30 fr. monn. royal;16 February 1406;ADCO, B 1543, f° 150 r°
2;Jean sans Peur;;2237;Adenet de Baulmes;Epicier et valet de chambre du duc;Aucune mention particulière;Paris;1 drap;;12 fr. monn. royal;10 May 1407;ADCO, B 1554, f° 129 r°
3;Jean sans Peur;;2237;Adenet de Baulmes;Epicier et valet de chambre du duc;Aucune mention particulière;Aucune mention;Des draps;;12 fr. monn. royal;18 November 1407;ADCO, B 1547, f° 129 r°
4;Jean sans Peur;;559;Adolphe II de Clèves;Comte de Clèves et de La Marck;Aucune mention particulière;Paris;1 houppelande en soie de Florence;;33 fr. monn. royal;9 August 1406;ADCO, B 1543, f° 142 v°
5;Jean sans Peur;;940;Agnes du Deffeus/Deffens (?);Damoiselle de la duchesse;Pour faire une robe;Compiègne;5 aunes de soie d'Ypres;;15 s./aune;24 June 1406;ADCO, B 1543, f° 149 r°
6;Jean sans Peur;;283;Andrieu d'Armentieres;Valet de chambre du duc;Aucune mention particulière;Paris;1 drap;;12 fr. monn. royal;10 May 1407;ADCO, B 1554, f° 129 r°
7;Jean sans Peur;;283;Andrieu d'Armentieres;Valet de chambre du duc;Aucune mention particulière;Aucune mention;Des draps;;12 fr. monn. royal;18 November 1407;ADCO, B 1547, f° 129 r°
8;Jean sans Peur;Regnier Pot;2242;Antoine de Bourgogne;Duc de Brabant;"""Ou mois de juing mil CCCC et huit [...] pour porter avec lui ou voyage quil a fait par ordonnance dudit seigneur devers les Roys de Hongherye et de Behaigne pour le mariage de monseigneur le duc de Brabant pour ycelles donner de par lui comme bon lui sembleroit""";Aucune mention;4 pièces de drap de soie;;64 fr. monn. royal;12 October 1408;ADCO, B 1556, f° 95 v°
9;Jean sans Peur;;2242;Antoine de Bourgogne;Duc de Brabant;Aucune mention particulière;Paris;1 huque de drap bleu;;;8 August 1410;ADCO, B 1560, f° 163 r°
10;Jean sans Peur;;226;Antoine de Craon;Chevalier et chambellan du duc;Aucune mention particulière;Gand;1 chaperon et des vêtements;;Aucune mention;17 April 1407;ADCO, B 1547, f° 130 v°
11;Jean sans Peur;;226;Antoine de Craon;;Aucune mention particulière;Aucune mention;1 tabard en drap bleu;;Aucune mention;14 August 1407;ADCO, B 1556, f° 98 v°
12;Jean sans Peur;;226;Antoine de Craon;;Aucune mention particulière;Paris;1 houppelande fourrée;;Aucune mention;7 September 1407;ADCO, B 1547, f° 131 v°
13;Jean sans Peur;;226;Antoine de Craon;;Aucune mention particulière;Paris;1 houppelande grise fourrée;;42 fr. monn. royal;26 April 1408;ADCO, B 1554, f° 131 v°
14;Jean sans Peur;;226;Antoine de Craon;Cousin du duc;Aucune mention particulière;Paris;1 robe;;Aucune mention;2 May 1408;ADCO, B 1547, f° 126 v°
15;Jean sans Peur;;226;Antoine de Craon;;Aucune mention particulière;Aucune mention;Des pannes à grandes bombardes en satin et drap de Damas;;Aucune mention;16 May 1408;ADCO, B 1556, f° 102 r°
16;Jean sans Peur;;226;Antoine de Craon;;Aucune mention particulière;Paris;1 robe en laine grise de Montivilliers;;Aucune mention;31 May 1408;ADCO, B 1554, f° 126 v°
17;Jean sans Peur;;226;Antoine de Craon;Conseiller et chambellan du duc;Aucune mention particulière;Paris;1 robe en satin de soie figuré;;450 fr. (l'ensemble);23 August 1410;ADCO, B 1560, f° 160 v°
18;Jean sans Peur;;226;Antoine de Craon;Capitaine des archers du duc;Aucune mention particulière;Paris;1 robe de Neuchâtel doublée de blanc à la devise du duc;;;16 January 1411;ADCO, B 1560, f° 157 r°
19;Jean sans Peur;;707;Antoine Forest;Garde des joyaux du duc d'Orléans;"""Pour ce quil avoit trouve et rapporte a mon dit seigneur son bon rabot qui avoit este perdu""";Aucune mention;2 draps de soie;;45 fr. monn. royal;5 February 1407;ADCO, B 1543, f° 144 v°
20;Jean sans Peur;;1937;Archambaud de Foix;Comte de Foix et seigneur de Navailles;Aucune mention particulière;Aucune mention;1 houppelande de velours cramoisi broché d'or et de feuillage vert;;Aucune mention;31 October 1418;ADCO, B 1601, f° 92 r°
