IdDon;Auteur;Intermediaire;IdBene;Beneficaire;Statut;Nature;Lieu;Formes;Poids;Prix;Informations;Sources
1;Jean sans Peur;;2152;Raoul de Cohakem;Seigneur de Cohakem, chevalier et chambellan du duc;"""Pour sa pension a luy ordonne par mondit seigneur qui est de 200 écus chacun an tant comme il plaira a mon dit seigneur paiez a deux termes cest assavoir noel et saint Jehan dont ledit seigneur veult commence le premier paiement au terme de noel 1404 pour que ledit chevalier soit tousiours plus tenu e astraint de servir mon dit seigneur et pour autres causes plus a plain contenues es lettres diceluy seigneur donne a Paris le 6e jour de septembre lan dessusdit desquelle la coppie dicelles collacionnees a loriginal est cy rendu pour les termes de noel 1405 et saint Jehan 1406""";Paris;Pension de 200 écus/an, payée en deux termes (Noël et la Saint-Jehan);;;6 September 1404;ADCO, B 1543, f° 68 v°
2;Jean sans Peur;;525;Pierre de Marigny;Avocat au Parlement et conseiller du duc audit Parlement;"""Tant comme il plaira audit seigneur et quil sent mettra de ses causes a la pension de fr. chacun an si comme il appert par mandement de mondit seigneur donne a Paris le 17e jour de septembre lan 1404 ainsi signe par mondit seigneur duquel mandement la coppie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu pour ce""";Paris;Pension de 20 fr./an;;;17 September 1404;ADCO, B 1543, f° 71 r°
3;Jean sans Peur;;523;André Cotin;Avocat au Parlement et conseiller du duc audit Parlement;"""Pour sa pension qui semble est de 20 fr. par an tant quil plaira a mondit seigneur et quil sent mettra de ses causes si comme il appert par mandement dicelluy seigneur donne a Paris le dit 17e jour de septembre lan 1404 ainsi signe par monseigneur le duc duquel la copie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu""";Paris;Pension de 20 fr./an;;;17 September 1404;ADCO, B 1543, f° 71 r°
4;Jean sans Peur;;2153;Jean Perier;Avocat au Parlement et conseiller du duc audit Parlement;"""A semble pension de 20 fr. par an tant quil plaira a mondit seigneur et quil sent mettra de ses causes si comme il appert par mandement de mondit seigneur donne a Paris le dit 17e jour de septembre lan 1404 duquel la coppie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu audit maistre Jehan pour sa dicte pension du parlement""";Paris;Pension de 20 fr./an;;;17 September 1404;ADCO, B 1543, f° 71 r°
5;Jean sans Peur;;2154;Jean Haguenin;Avocat au Parlement et conseiller du duc audit Parlement;"""A semble pension de 20 fr. par an tant quil plaira a mondit seigneur et quil sent mettra de ses causes si comme il appert par mandement de mondit seigneur donne a Paris le dit 17e jour de septembre lan 1404 duquel la coppie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu audit maistre Jehan pour sa dicte pension du parlement""";Paris;Pension de 20 fr./an;;;17 September 1404;ADCO, B 1543, f° 71 r°
6;Jean sans Peur;;2155;Guillaume Cousinot;Avocat au Parlement et conseiller du duc audit Parlement;"""""A semble pension de 20 fr. par an tant quil plaira a mondit seigneur et quil sent mettra de ses causes si comme il appert par mandement de mondit seigneur donne a Paris le dit 17e jour de septembre lan 1404 duquel la coppie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu audit maistre Guillaume pour sa dicte pension du parlement""";Paris;Pension de 20 fr./an;;;17 September 1404;ADCO, B 1543, f° 71 v°
7;Jean sans Peur;;2156;Barthelemy Destourbes;Procureur du duc au Parlement et ailleurs;"""A la pension de 20 fr. par an tant comme il plaira a mondit seigneur et quil sent mettra de ses causes et besoingnes si comme par mon dit seigneur donne a Paris le 17e jour de septembre lan 1404 ainsi signe par monseigneur le duc duquel la coppie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu""";Paris;Pension de 20 fr./an;;;17 September 1404;ADCO, B 1543, f° 72 r°
8;Jean sans Peur;;2157;Etienne Ligier;Procureur du duc à l'audience du roi;"""Pour sa pension qui est de 40 fr. par an tant comme il plaira a mondit seigneur e quil sent mettra de ses causes et besoingnes a ladicte audience si comme il appert par lettres de mondit seigneur donnees a Paris le 17e jour de septembre lan 1404 desquelles la coppie collacionne a loriginal soubz le scel dela prevoste de Paris est cy rendu a compte pour ce cy rendu""";Paris;Pension de 40 fr./an;;;17 September 1404;ADCO, B 1543, f° 72 r°
9;Jean sans Peur;;293;Jean de Chevenon;Ecuyer et conseiller du duc;"""Pour sa pension qui est de 300 l. t. chacun an tant comme plaira a mondit seigneur pour les causes plus a plain declairees es lettres de mon dit seigneur donnees a Arras le 14e jour dottobre 1404 desquelles la coppie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu pour ce paie audit Jehan de Chevenon sur 300 l. t.""";Arras;Pension de 300 l. t./an;;;14 October 1404;ADCO, B 1543, f° 68 v°
10;Jean sans Peur;;158;Jean de Thoisy;Conseiller du duc et archidiacre en l'église d'Arras;"""Aux gaige ou pension de 200 fr. par an a prendre a deux termes par moitie sur la dicte recepte general des finances de mondit seigneur cest assavoir noel et saint Jehan a commence pour le premier paiement a noel 1404 ce pour ce afin que ledit conseiller servir mondit seigneur oudit estat tant dudit lieu comme a Paris et ailleurs en toute les besoignes et affaires dicelluy seigneur duquel estat de conseiller ledit maistre Jehan est tenu de faire le service en tel es mains de mondit seigneur si comme es choses et autres sont plus a plain declaire es lettres de mondit seigneur donne a Arras le 15e jour dottobre lan 1404 e desquelles la coppie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu""";Arras;Pension de 200 fr./an, payée en deux termes (Noël et la Saint-Jean);;;15 October 1404;ADCO, B 1543, f° 71 v°
